Modelo,Accuracy,Sensitivity,Specificity,Precision,F1_Score,AUC,Tiempo_seg
Regresion Logistica,0.6420719550783751,0.4359873972548279,0.7620982680374178,0.5162892519184595,0.47275255015438333,0.6492962959750551,31.150352001190186
Random Forest,0.671260036946939,0.12401975887807738,0.989979855515421,0.8781758040678449,0.21734510808033303,0.4430318127580074,1872.5341510772705
