metrica,valor
Total establecimientos,1.366.827
Región más concentrada,Centro
Participación femenina promedio,35.2%
Tasa de exportadores,3.2%
Sector más numeroso,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
